index,time,A,B,C
12267.0,9.813927130904363e-06,-157.48031496062993,1181.1023622047244,78.74015748031496
12268.0,9.81472715757192e-06,-157.48031496062993,1181.1023622047244,0.0
12269.0,9.815527184239475e-06,-157.48031496062993,1181.1023622047244,0.0
12270.0,9.81632721090703e-06,-157.48031496062993,1141.732283464567,0.0
12271.0,9.817127237574585e-06,-196.8503937007874,1181.1023622047244,0.0
12272.0,9.817927264242142e-06,-157.48031496062993,1141.732283464567,0.0
12273.0,9.818727290909697e-06,-196.8503937007874,1220.4724409448818,39.37007874015748
12274.0,9.819527317577252e-06,-157.48031496062993,1181.1023622047244,0.0
12275.0,9.820327344244809e-06,-157.48031496062993,1181.1023622047244,-39.37007874015748
12276.0,9.821127370912364e-06,-196.8503937007874,1181.1023622047244,0.0
12277.0,9.821927397579919e-06,-196.8503937007874,1181.1023622047244,0.0
12278.0,9.822727424247475e-06,-196.8503937007874,1181.1023622047244,39.37007874015748
12279.0,9.82352745091503e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12280.0,9.824327477582586e-06,-157.48031496062993,1181.1023622047244,0.0
12281.0,9.82512750425014e-06,-196.8503937007874,1181.1023622047244,0.0
12282.0,9.825927530917697e-06,-157.48031496062993,1181.1023622047244,0.0
12283.0,9.826727557585253e-06,-196.8503937007874,1181.1023622047244,0.0
12284.0,9.827527584252808e-06,-196.8503937007874,1181.1023622047244,39.37007874015748
12285.0,9.828327610920364e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12286.0,9.82912763758792e-06,-196.8503937007874,1181.1023622047244,-39.37007874015748
12287.0,9.829927664255475e-06,-196.8503937007874,1141.732283464567,0.0
12288.0,9.830727690923031e-06,-157.48031496062993,1181.1023622047244,0.0
12289.0,9.831527717590586e-06,-196.8503937007874,1181.1023622047244,0.0
12290.0,9.832327744258141e-06,-196.8503937007874,1181.1023622047244,0.0
12291.0,9.833127770925697e-06,-157.48031496062993,1181.1023622047244,0.0
12292.0,9.833927797593253e-06,-196.8503937007874,1181.1023622047244,0.0
12293.0,9.834727824260808e-06,-157.48031496062993,1220.4724409448818,0.0
12294.0,9.835527850928363e-06,-196.8503937007874,1141.732283464567,0.0
12295.0,9.83632787759592e-06,-157.48031496062993,1181.1023622047244,39.37007874015748
12296.0,9.837127904263475e-06,-157.48031496062993,1181.1023622047244,0.0
12297.0,9.83792793093103e-06,-196.8503937007874,1220.4724409448818,0.0
12298.0,9.838727957598585e-06,-196.8503937007874,1220.4724409448818,0.0
12299.0,9.839527984266142e-06,-196.8503937007874,1181.1023622047244,0.0
